AGNC,20240129161741,$9.81,1/30/2024,N/A,,1/10/2024,0.0,Real Estate Investment Trusts,,
LNT,20240129161742,$48.85,1/30/2024,N/A,,1/12/2024,0.0,Power Generation,,
CALM,20240129161744,$56.16,1/30/2024,N/A,,11/27/2007,0.0,Farming/Seeds/Milling,,
CCLP,20240129161749,$1.90,1/30/2024,N/A,,1/18/2024,0.0,Oilfield Services/Equipment,,
ENTG,20240129161751,$120.39,1/30/2024,N/A,,1/17/2024,0.0,Plastic Products,,
FRMEP,20240129161752,$25.95,1/30/2024,N/A,,1/18/2024,0.0,Major Banks,,
LXP^C,20240129161754,$46.96,1/30/2024,6.92%,,10/31/2023,3.25,N/A,,
MCBS,20240129161756,$24.48,1/30/2024,N/A,,1/17/2024,0.0,Major Banks,,
NTIC,20240129161757,$13.285,1/30/2024,N/A,,1/17/2024,0.0,Industrial Specialties,,
OCFCP,20240129161759,$24.76,1/30/2024,N/A,,1/17/2024,0.0,Major Banks,,
PAA,20240129161802,$16.30,1/30/2024,N/A,,1/08/2024,0.0,Natural Gas Distribution,,
PAGP,20240129161803,$17.04,1/30/2024,N/A,,1/08/2024,0.0,Oil & Gas Production,,
SQFTP,20240129161805,$15.93,1/30/2024,N/A,,12/18/2023,0.0,Real Estate Investment Trusts,,
RBB,20240129161808,$18.75,1/30/2024,N/A,,1/18/2024,0.0,Major Banks,,
SCHL,20240129161810,$39.81,1/30/2024,N/A,,12/13/2023,0.0,Books,,
BSRR,20240129161811,$21.90,1/30/2024,N/A,,1/18/2024,0.0,Major Banks,,
TXN,20240129161814,$164.09,1/30/2024,N/A,,1/18/2024,0.0,Semiconductors,,
NBH,20240129161816,$10.20,1/30/2024,4.44%,,1/16/2024,0.4529,Finance/Investors Services,,
WST,20240129161818,$361.36,1/30/2024,0.22%,,12/06/2023,0.8,Medical/Dental Instruments,,
MTR,20240129161819,$10.88,1/30/2024,3.4%,,1/18/2024,0.3022,Oil & Gas Production,,
PBT,20240129161821,$15.01,1/30/2024,8.49%,,1/19/2024,0.3724,Oil & Gas Production,,
SJT,20240129161822,$5.05,1/30/2024,2.93%,,1/19/2024,0.1952,Oil & Gas Production,,
AOS,20240129161824,$80.92,1/30/2024,1.58%,,1/16/2024,1.28,Consumer Electronics/Appliances,,
NNN,20240129161826,$41.13,1/30/2024,5.49%,,1/16/2024,2.26,Real Estate Investment Trusts,,
DNP,20240129161828,$8.84,1/30/2024,8.82%,,12/14/2023,0.78,Investment Managers,,
CRT,20240129161830,$18.23,1/30/2024,9.41%,,1/19/2024,1.3839,Oil & Gas Production,,
MS,20240129161832,$87.73,1/30/2024,3.88%,,1/16/2024,3.4,Investment Bankers/Brokers/Service,,
SKT,20240129161834,$27.96,1/30/2024,3.72%,,1/17/2024,1.04,Real Estate Investment Trusts,,
ADC,20240129161835,$59.47,1/30/2024,4.98%,,1/11/2024,2.964,Real Estate Investment Trusts,,
GEL,20240129161837,$11.86,1/30/2024,5.06%,,1/10/2024,0.6,Oil Refining/Marketing,,
SLG,20240129161839,$47.25,1/30/2024,6.35%,,1/18/2024,3.0,Real Estate Investment Trusts,,
EPR,20240129161840,$45.14,1/30/2024,7.31%,,1/16/2024,3.3,Real Estate Investment Trusts,,
EPD,20240129161841,$27.41,1/30/2024,7.3%,,1/08/2024,2.06,Natural Gas Distribution,,
ARC,20240129161843,$3.07,1/30/2024,6.51%,,12/06/2023,0.2,Professional Services,,
TVE,20240129161845,$22.18,1/30/2024,2.5%,,N/A,0.554,Electric Utilities: Central,,
STAG,20240129161848,$37.98,1/30/2024,3.87%,,1/10/2024,1.48,Real Estate Investment Trusts,,
VRTS,20240129161850,$245.96,1/30/2024,3.09%,,12/07/2023,7.6,Investment Managers,,
EFC,20240129161851,$12.90,1/30/2024,8.37%,,1/08/2024,1.8,Real Estate,,
TRGP,20240129161853,$86.81,1/30/2024,2.3%,,1/18/2024,2.0,Natural Gas Distribution,,
KMI,20240129161854,$17.44,1/30/2024,6.48%,,1/17/2024,1.13,Natural Gas Distribution,,
ORC,20240129161856,$8.64,1/30/2024,16.67%,,1/10/2024,1.44,Real Estate Investment Trusts,,
SCM,20240129161857,$13.48,1/30/2024,11.87%,,1/15/2024,1.5996,Finance/Investors Services,,
EARN,20240129161900,$6.19,1/30/2024,15.51%,,1/08/2024,0.96,Real Estate Investment Trusts,,
CFG,20240129161902,$33.59,1/30/2024,5%,,1/17/2024,1.68,Major Banks,,
APLE,20240129161904,$16.52,1/30/2024,5.64%,,1/19/2024,0.96,Real Estate Investment Trusts,,
PRT,20240129161906,$4.72,1/30/2024,7.7%,,1/19/2024,0.4147,Oil & Gas Production,,
NWN,20240129161907,$38.73,1/30/2024,5.03%,,1/11/2024,1.95,Oil/Gas Transmission,,
