companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Applied Materials, Inc. Common Stock",AMAT,11/22/2023,12/14/2023,11/24/2023,0.32,1.28,9/07/2023
"Bank of the James Financial Group, Inc. Common Stock",BOTJ,11/22/2023,12/08/2023,11/24/2023,0.08,0.32,10/17/2023
CDW Corporation Common Stock,CDW,11/22/2023,12/12/2023,11/24/2023,0.62,2.36,11/19/2023
"Cogent Communications Holdings, Inc.",CCOI,11/22/2023,12/08/2023,11/24/2023,0.955,3.78,11/01/2023
"Columbia Banking System, Inc. Common Stock",COLB,11/22/2023,12/11/2023,11/24/2023,0.36,1.44,11/13/2023
Cummins Inc. Common Stock,CMI,11/22/2023,12/07/2023,11/24/2023,1.68,6.72,10/10/2023
"Diamond Hill Investment Group, Inc. Class A Common Stock",DHIL,11/22/2023,12/08/2023,11/24/2023,1.5,6.0,10/31/2023
"Eagle Capital Growth Fund, Inc. Common Stock",GRF,11/22/2023,12/15/2023,11/24/2023,0.35,0.35,10/13/2023
Evercore Inc. Class A Common Stock,EVR,11/22/2023,12/08/2023,11/24/2023,0.76,3.04,10/24/2023
First BanCorp. New Common Stock,FBP,11/22/2023,12/08/2023,11/24/2023,0.14,0.56,10/31/2023
"First Mid Bancshares, Inc. Common Stock",FMBH,11/22/2023,12/01/2023,11/24/2023,0.23,0.92,11/14/2023
First National Corporation Common Stock,FXNC,11/22/2023,12/08/2023,11/24/2023,0.15,0.6,11/08/2023
"Huntington Ingalls Industries, Inc. Common Stock",HII,11/22/2023,12/08/2023,11/24/2023,1.3,5.2,11/01/2023
Moody's Corporation Common Stock,MCO,11/22/2023,12/15/2023,11/24/2023,0.77,3.08,10/23/2023
"NextEra Energy, Inc. Common Stock",NEE,11/22/2023,12/15/2023,11/24/2023,0.4675,1.87,10/12/2023
"NiSource, Inc Depositary Shares representing 1/1,000th ownership interest in a share of 6.50% Series B Preferred Stock and 1/1,000th ownership interest in a share of Series B-1 Preferred Stock",NI^B,11/22/2023,12/15/2023,11/24/2023,0.40625,1.625,8/07/2023
"Nu Skin Enterprises, Inc. Common Stock",NUS,11/22/2023,12/06/2023,11/24/2023,0.39,1.56,11/01/2023
Perella Weinberg Partners Class A Common Stock,PWP,11/22/2023,12/08/2023,11/24/2023,0.07,0.28,11/07/2023
"Piedmont Office Realty Trust, Inc. Class A Common Stock",PDM,11/22/2023,1/02/2024,11/24/2023,0.125,0.5,10/25/2023
Putnam Managed Municipal Income Trust Common Stock,PMM,11/22/2023,12/01/2023,11/24/2023,0.0238,0.2856,10/27/2023
Putnam Master Intermediate Income Trust Common Stock,PIM,11/22/2023,12/01/2023,11/24/2023,0.022,0.264,10/27/2023
Putnam Municipal Opportunities Trust Common Stock,PMO,11/22/2023,12/01/2023,11/24/2023,0.035,0.42,10/27/2023
Putnam Premier Income Trust Common Stock,PPT,11/22/2023,12/01/2023,11/24/2023,0.026,0.312,10/27/2023
