companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Ally Financial Inc. Common Stock,ALLY,1/31/2024,2/15/2024,2/01/2024,0.3,1.2,1/16/2024
Ames National Corporation Common Stock,ATLO,1/31/2024,2/15/2024,2/01/2024,0.27,1.08,11/08/2023
Angel Oak Income ETF,CARY,1/31/2024,2/02/2024,2/01/2024,0.1119,1.3076,1/30/2024
Angel Oak UltraShort Income ETF,UYLD,1/31/2024,2/02/2024,2/01/2024,0.2301,2.9761,1/30/2024
Aon plc Class A Ordinary Shares (Ireland),AON,1/31/2024,2/15/2024,2/01/2024,0.615,2.46,1/10/2024
"AptarGroup, Inc. Common Stock",ATR,1/31/2024,2/22/2024,2/01/2024,0.41,1.64,1/18/2024
"Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock, Series 5)",BML^L,1/31/2024,2/21/2024,2/01/2024,0.39155,1.5662,1/18/2024
"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.250% Non-Cumulative Preferred Stock, Series QQ",BAC^Q,1/31/2024,2/20/2024,2/01/2024,0.265625,1.0625,1/18/2024
"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.750% Non-Cumulative Preferred Stock, Series SS",BAC^S,1/31/2024,2/20/2024,2/01/2024,0.296875,1.1875,1/18/2024
"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 6.000% Non-Cumulative Preferred Stock, Series GG",BAC^B,1/31/2024,2/16/2024,2/01/2024,0.375,1.5,1/18/2024
Bank OZK 4.625% Series A Non-Cumulative Perpetual Preferred Stock,OZKAP,1/31/2024,2/15/2024,2/01/2024,0.28906,1.15624,1/02/2024
Calvert Ultra-Short Investment Grade ETF,CVSB,1/31/2024,2/06/2024,2/01/2024,0.228,2.7451,1/30/2024
Capital Group Core Bond ETF,CGCB,1/31/2024,2/02/2024,2/01/2024,0.0593,0.9468,1/30/2024
Capital Group Core Plus Income ETF,CGCP,1/31/2024,2/02/2024,2/01/2024,0.0731,1.1334,1/30/2024
Capital Group Municipal Income ETF,CGMU,1/31/2024,2/02/2024,2/01/2024,0.0556,0.8422,1/30/2024
Capital Group Short Duration Income ETF,CGSD,1/31/2024,2/02/2024,2/01/2024,0.0708,1.1438,1/30/2024
Capital Group Short Duration Municipal Income ETF,CGSM,1/31/2024,2/02/2024,2/01/2024,0.0561,0.8692,1/30/2024
Capital Group U.S. Multi-Sector Income ETF,CGMS,1/31/2024,2/02/2024,2/01/2024,0.1359,1.6081,1/30/2024
"Casey's General Stores, Inc. Common Stock",CASY,1/31/2024,2/15/2024,2/01/2024,0.43,1.72,12/07/2023
"Cullman Bancorp, Inc. Common Stock",CULL,1/31/2024,2/21/2024,2/01/2024,0.12,0.12,1/18/2024
"Donegal Group, Inc. Class A Common Stock",DGICA,1/31/2024,2/15/2024,2/01/2024,0.17,0.68,12/21/2023
"Donegal Group, Inc. Class B Common Stock",DGICB,1/31/2024,2/15/2024,2/01/2024,0.1525,0.61,12/21/2023
Eaton Vance High Yield ETF,EVHY,1/31/2024,2/06/2024,2/01/2024,0.3129,4.2971,1/30/2024
Eaton Vance Intermediate Municipal Income ETF,EVIM,1/31/2024,2/06/2024,2/01/2024,0.1829,2.394,1/30/2024
Eaton Vance Ultra-Short Income ETF,EVSB,1/31/2024,2/06/2024,2/01/2024,0.224,2.8808,1/30/2024
Energy Transfer L.P. 7.600% Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Unit,ET^E,1/31/2024,2/15/2024,2/01/2024,0.475,1.9,1/22/2024
Energy Transfer L.P. Series I Fixed Rate Perpetual Preferred Units,ET^I,1/31/2024,2/15/2024,2/01/2024,0.2111,0.8444,1/22/2024
Fastenal Company Common Stock,FAST,1/31/2024,2/29/2024,2/01/2024,0.39,1.56,1/17/2024
First Trust Enhanced Short Maturity ETF,FTSM,1/31/2024,2/05/2024,2/01/2024,0.255,3.06,1/30/2024
"Franklin Electric Co., Inc. Common Stock",FELE,1/31/2024,2/15/2024,2/01/2024,0.25,1.0,1/22/2024
Franklin Financial Services Corporation Common Stock,FRAF,1/31/2024,2/28/2024,2/01/2024,0.32,1.28,1/18/2024
Global Partners LP 9.50% Series B Fixed Rate Cumulative Redeemable Perpetual Preferred Units representing limited partner interests,GLP^B,1/31/2024,2/15/2024,2/01/2024,0.59375,2.375,1/16/2024
Global Partners LP 9.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units representing limited partner interests,GLP^A,1/31/2024,2/15/2024,2/01/2024,0.77596,3.1038,1/16/2024
Graham Holdings Company Common Stock,GHC,1/31/2024,2/15/2024,2/01/2024,1.72,6.88,1/18/2024
"Hartford Financial Services Group, Inc. (The) Depositary Shares each representing a 1/1,000th interest in a share of 6.000% Non-Cumulative Preferred Stock, Series G, $0.01 par value",HIG^G,1/31/2024,2/15/2024,2/01/2024,0.375,1.5,12/13/2023
"Hasbro, Inc. Common Stock",HAS,1/31/2024,2/15/2024,2/01/2024,0.7,2.8,12/14/2023
"Independent Bank Group, Inc Common Stock",IBTX,1/31/2024,2/15/2024,2/01/2024,0.38,1.52,1/18/2024
"Lifetime Brands, Inc. Common Stock",LCUT,1/31/2024,2/15/2024,2/01/2024,0.0425,0.17,11/07/2023
Macquarie Tax-Free USA Short Term ETF,STAX,1/31/2024,2/06/2024,2/01/2024,0.1287,0.1287,1/30/2024
National Rural Utilities Cooperative Finance Corporation 5.500% Subordinated Notes due 2064 (Subordinated Deferrable Interest Notes),NRUC,1/31/2024,2/15/2024,2/01/2024,0.34375,1.375,2/03/2024
"NRG Energy, Inc. Common Stock",NRG,1/31/2024,2/15/2024,2/01/2024,0.4075,1.63,1/19/2024
Parametric Equity Premium Income ETF,PAPI,1/31/2024,2/06/2024,2/01/2024,0.1152,1.9409,1/30/2024
Pinnacle West Capital Corporation Common Stock,PNW,1/31/2024,3/01/2024,2/01/2024,0.88,3.52,12/13/2023
Plumas Bancorp,PLBC,1/31/2024,2/15/2024,2/01/2024,0.27,1.08,1/17/2024
"Prudential Financial, Inc. 5.625% Junior Subordinated Notes due 2058",PRS,1/31/2024,2/15/2024,2/01/2024,0.3515625,1.4062,2/03/2024
Realty Income Corporation Common Stock,O,1/31/2024,2/15/2024,2/01/2024,0.2565,3.078,1/09/2024
"Regions Financial Corporation Depositary Shares, each Representing a 1/40th Interest in a  Share of 5.700% Fixed-to-Floating Rate Non-Cumulative  Perpetual Preferred Stock, Series C",RF^C,1/31/2024,2/15/2024,2/01/2024,0.35625,1.425,1/12/2024
SoFi Weekly Income ETF,TGIF,1/31/2024,2/02/2024,2/01/2024,0.09,5.2955,12/28/2023
The AES Corporation Common Stock,AES,1/31/2024,2/15/2024,2/01/2024,0.1725,0.69,12/08/2023
The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,CGABL,1/31/2024,2/15/2024,2/01/2024,0.2890625,1.15625,2/03/2024
Valero Energy Corporation Common Stock,VLO,1/31/2024,3/04/2024,2/01/2024,1.07,4.28,1/18/2024
"Western Midstream Partners, LP Common Units Representing Limited Partner Interests",WES,1/31/2024,2/13/2024,2/01/2024,0.575,2.3,1/22/2024
