,Symbol,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
0,ECCC,20231125142053,$21.32,12/08/2023,7.61%,,8/09/2023,1.625,"Trusts, Except Educational, Religious, and Charitable",,
1,ECC^D,20231125142054,$19.50,12/08/2023,8.65%,,8/09/2023,1.6875,N/A,,
2,ECC           ,20231125142056,$19.50,12/08/2023,8.65%,,8/09/2023,1.68,N/A,,
3,ECC           ,20231125142057,$19.50,12/08/2023,8.65%,,8/09/2023,1.68,N/A,,
4,EICA,20231125142058,$22.84,12/08/2023,5.47%,,8/09/2023,1.25,Finance/Investors Services,,
5,EICB,20231125142100,$24.87,12/08/2023,7.79%,,8/09/2023,1.9375,N/A,,
6,EIC,20231125142101,$14.17,12/08/2023,15.18%,,8/09/2023,2.16,Finance/Investors Services,,
7,HSTM,20231125142103,$25.73,12/08/2023,0.39%,,10/23/2023,0.1,Business Services,,
8,JRVR,20231125142104,$9.32,12/08/2023,2.15%,,11/25/2023,0.2,Property-Casualty Insurers,,
9,SITC,20231125142106,$13.15,12/08/2023,3.96%,,10/30/2023,0.52,Real Estate Investment Trusts,,
10,GROW,20231125142107,$2.96,12/08/2023,3.04%,,9/18/2023,0.09,Investment Managers,,
11,UMBF,20231125142109,$71.53,12/08/2023,2.13%,,10/24/2023,1.52,Major Banks,,
12,VFC,20231125142110,$16.68,12/08/2023,7.23%,,10/30/2023,0.36,Apparel,,
13,VCTR,20231125142112,$33.07,12/08/2023,3.87%,,11/02/2023,1.28,Investment Managers,,
14,TY,20231125142113,$27.62,12/08/2023,3.77%,,11/16/2023,1.106,Finance Companies,,
15,TY,20231125142114,$27.62,12/08/2023,3.77%,,11/16/2023,1.106,Finance Companies,,
16,VFC,20231125142116,$16.68,12/08/2023,7.23%,,10/30/2023,0.36,Apparel,,
17,FDX,20231125142117,$256.46,12/08/2023,1.96%,,11/17/2023,5.04,Air Freight/Delivery Services,,
18,ZTR,20231125142119,$5.24,12/08/2023,11.34%,,11/16/2023,0.6,Investment Managers,,
19,SITC,20231125142120,$13.15,12/08/2023,3.96%,,10/30/2023,0.52,Real Estate Investment Trusts,,
20,NCV,20231125142121,$3.15,12/08/2023,13.04%,,11/16/2023,0.408,Finance Companies,,
21,NCZ,20231125142123,$2.75,12/08/2023,13.04%,,11/16/2023,0.36,Finance Companies,,
22,SAR,20231125142124,$25.70,12/08/2023,11.02%,,11/15/2023,2.88,Investment Managers,,
23,NFJ,20231125142126,$11.47,12/08/2023,8.52%,,11/16/2023,0.98,Finance: Consumer Services,,
24,EDF,20231125142127,$4.19,12/08/2023,16.86%,,11/16/2023,0.72,Investment Managers,,
25,NIE,20231125142129,$20.65,12/08/2023,9.61%,,11/16/2023,2.0,Investment Managers,,
26,VGI,20231125142130,$7.26,12/08/2023,13.2%,,11/16/2023,0.96,Investment Managers,,
27,ECC,20231125142131,$9.44,12/08/2023,N/A,,8/09/2023,1.68,"Trusts, Except Educational, Religious, and Charitable",,
28,ECC,20231125142132,$9.44,12/08/2023,N/A,,8/09/2023,1.68,"Trusts, Except Educational, Religious, and Charitable",,
29,ACV,20231125142134,$19.31,12/08/2023,11.14%,,11/16/2023,2.16,Finance/Investors Services,,
30,SR,20231125142135,$60.53,12/08/2023,4.74%,,11/13/2023,3.02,Oil/Gas Transmission,,
31,CBH,20231125142137,$8.59,12/08/2023,6.44%,,11/16/2023,0.552,"Trusts, Except Educational, Religious, and Charitable",,
32,EIC,20231125142138,$14.17,12/08/2023,15.18%,,8/09/2023,2.16,Finance/Investors Services,,
33,AIO,20231125142140,$16.77,12/08/2023,10.73%,,11/16/2023,1.8,Finance/Investors Services,,
34,ECCC,20231125142142,$21.32,12/08/2023,7.61%,,8/09/2023,1.625,"Trusts, Except Educational, Religious, and Charitable",,
35,EICA,20231125142143,$22.84,12/08/2023,5.47%,,8/09/2023,1.25,Finance/Investors Services,,
36,STMEF,20231125142144,$44.308,12/08/2023,0.53%,,N/A,0.24,N/A,,
37,CLPBY,20231125142146,$11.16,12/08/2023,0.83%,,N/A,0.2997,N/A,,
38,GZPZY,20231125142147,$24.41,12/08/2023,N/A,,N/A,0.7043,N/A,,
39,MFIC,20231125142149,$13.27,12/11/2023,11.45%,,11/07/2023,1.52,Finance/Investors Services,,
40,CASH,20231125142150,$49.64,12/11/2023,0.4%,,11/16/2023,0.2,Major Banks,,
41,STM,20231125142152,$45.28,12/11/2023,0.53%,,3/23/2023,0.24,Semiconductors,,
42,EAD,20231125142153,$6.29,12/11/2023,9.07%,,11/15/2023,0.6208,Finance/Investors Services,,
43,ERC,20231125142155,$9.1718,12/11/2023,8.49%,,11/15/2023,0.7798,Finance/Investors Services,,
44,ERH,20231125142156,$8.86,12/11/2023,8.98%,,11/15/2023,0.7901,Finance/Investors Services,,
45,BBY,20231125142158,$68.03,12/11/2023,5.29%,,11/21/2023,3.68,Consumer Electronics/Video Chains,,
46,STM,20231125142159,$45.28,12/11/2023,0.53%,,3/23/2023,0.24,Semiconductors,,
47,EOD,20231125142201,$4.215,12/11/2023,10.06%,,11/15/2023,0.427,Investment Managers,,
48,LGI,20231125142202,$14.56,12/11/2023,7.65%,,11/22/2023,1.1207,N/A,,
49,CBL,20231125142203,$23.12,12/11/2023,6.46%,,11/08/2023,1.5,Real Estate Investment Trusts,,
50,PPAL,20231125142205,$60.90,12/11/2023,1.72%,,11/21/2023,1.05,N/A,,
51,GAMI,20231125142255,$18.60,12/11/2023,0.85%,,11/07/2023,0.16,N/A,,
52,HELOF,20231125142257,$0.178,12/11/2023,N/A,,11/07/2023,0.0,N/A,,
53,FCCT,20231125142258,$9.95,12/11/2023,2.51%,,11/21/2023,0.25,N/A,,
54,CZBC,20231125142300,$11.89,12/11/2023,3.53%,,11/21/2023,0.35,N/A,,
55,FCCTP,20231125142301,$9.75,12/11/2023,2.69%,,11/21/2023,0.2625,N/A,,
56,FCCTO,20231125142303,$9.99,12/11/2023,2.75%,,11/21/2023,0.275,N/A,,
57,AEE,20231125142307,$77.00,12/12/2023,3.27%,,10/13/2023,2.52,Power Generation,,
58,CSGS,20231125142308,$51.36,12/12/2023,2.18%,,11/25/2023,1.12,EDP Services,,
59,LRCX,20231125142309,$717.46,12/12/2023,1.12%,,11/08/2023,8.0,Industrial Machinery/Components,,
60,NFE,20231125142311,$36.95,12/12/2023,0.54%,,11/08/2023,0.2,Oil/Gas Transmission,,
61,NXPI,20231125142312,$199.58,12/12/2023,2.03%,,11/15/2023,4.056,Semiconductors,,
62,NJR,20231125142314,$42.69,12/12/2023,3.65%,,11/16/2023,1.68,Oil/Gas Transmission,,
63,VSH,20231125142315,$22.26,12/12/2023,1.79%,,11/20/2023,0.4,Industrial Machinery/Components,,
64,PSA,20231125142316,$254.72,12/12/2023,4.71%,,11/08/2023,12.0,Real Estate Investment Trusts,,
