companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
AB Core Plus Bond ETF,CPLS,2/01/2024,2/07/2024,2/02/2024,0.123,1.476,1/31/2024
AB Corporate Bond ETF,EYEG,2/01/2024,2/07/2024,2/02/2024,0.1476,1.7712,1/31/2024
AB High Yield ETF,HYFI,2/01/2024,2/07/2024,2/02/2024,0.1856,2.397,1/17/2024
AB Tax-Aware Intermediate Municipal ETF,TAFM,2/01/2024,2/07/2024,2/02/2024,0.0717,0.8604,1/17/2024
AB Tax-Aware Long Municipal ETF,TAFL,2/01/2024,2/07/2024,2/02/2024,0.0774,0.9288,1/17/2024
AB Tax-Aware Short Duration Municipal ETF,TAFI,2/01/2024,2/07/2024,2/02/2024,0.0584,0.792,1/17/2024
AB Ultra Short Income ETF,YEAR,2/01/2024,2/07/2024,2/02/2024,0.1902,2.5235,1/17/2024
Academy Veteran Impact ETF,VETZ,2/01/2024,2/07/2024,2/02/2024,0.0848,0.4687,1/31/2024
ActivePassive Core Bond ETF,APCB,2/01/2024,2/05/2024,2/02/2024,0.14173698,1.1349,1/19/2024
ActivePassive Intermediate Municipal Bond ETF,APMU,2/01/2024,2/05/2024,2/02/2024,0.03900692,0.4985,1/19/2024
Alliancebernstein Global High Income Fund,AWF,2/01/2024,2/16/2024,2/02/2024,0.0655,0.786,1/23/2024
AllianceBernstein National Municipal Income Fund Inc,AFB,2/01/2024,2/16/2024,2/02/2024,0.03266,0.3919,1/23/2024
AMCON Distributing Company Common Stock,DIT,2/01/2024,2/12/2024,2/02/2024,0.18,0.72,1/23/2024
American Century Diversified Corporate Bond ETF,KORP,2/01/2024,2/05/2024,2/02/2024,0.1827,2.0912,1/31/2024
American Century Diversified Municipal Bond ETF,TAXF,2/01/2024,2/05/2024,2/02/2024,0.1355,1.5227,1/31/2024
American Century Emerging Markets Bond ETF,AEMB,2/01/2024,2/05/2024,2/02/2024,0.1447,2.2497,1/31/2024
American Century Multisector Floating Income ETF,FUSI,2/01/2024,2/05/2024,2/02/2024,0.2228,3.1784,1/31/2024
American Century Multisector Income ETF,MUSI,2/01/2024,2/05/2024,2/02/2024,0.1927,2.3081,1/31/2024
American Century Select High Yield ETF,AHYB,2/01/2024,2/05/2024,2/02/2024,0.2157,2.4279,1/31/2024
American Century Short Duration Strategic Income ETF,SDSI,2/01/2024,2/05/2024,2/02/2024,0.2429,2.9148,1/31/2024
"American Software, Inc. Class A Common Stock",AMSWA,2/01/2024,2/16/2024,2/02/2024,0.11,0.44,11/20/2023
Australian Dollar Shares,FXA,2/01/2024,2/08/2024,2/02/2024,0.0851,0.7714,1/31/2024
Avantis Core Fixed Income ETF,AVIG,2/01/2024,2/05/2024,2/02/2024,0.1509,1.7271,1/11/2024
Avantis Core Municipal Fixed Income ETF,AVMU,2/01/2024,2/05/2024,2/02/2024,0.1288,1.2148,1/11/2024
Avantis Short-Term Fixed Income ETF,AVSF,2/01/2024,2/05/2024,2/02/2024,0.1586,1.8442,1/11/2024
BlackRock AAA CLO ETF,CLOA,2/01/2024,2/07/2024,2/02/2024,0.237883,2.854596,1/31/2024
BlackRock Flexible Income ETF,BINC,2/01/2024,2/07/2024,2/02/2024,0.072121,2.5614,11/29/2023
BlackRock Intermediate Muni Income Bond ETF,INMU,2/01/2024,2/07/2024,2/02/2024,0.0655,0.8068,1/31/2024
BlackRock Short-Term California Muni Bond ETF,CALY,2/01/2024,2/07/2024,2/02/2024,0.137952,1.655424,1/31/2024
BlackRock Total Return ETF,BRTR,2/01/2024,2/07/2024,2/02/2024,0.190321,2.283852,1/31/2024
BNY Mellon Core Bond ETF,BKAG,2/01/2024,2/07/2024,2/02/2024,0.1458,1.4466,1/31/2024
BNY Mellon High Yield Beta ETF,BKHY,2/01/2024,2/07/2024,2/02/2024,0.2452,4.1075,1/31/2024
BNY Mellon Responsible Horizons Corporate Bond ETF,RHCB,2/01/2024,2/07/2024,2/02/2024,0.1631,2.0858,1/31/2024
BNY Mellon Ultra Short Income ETF,BKUI,2/01/2024,2/07/2024,2/02/2024,0.2055,2.1777,1/31/2024
BondBloxx B Rated USD High Yield Corporate Bond ETF,XB,2/01/2024,2/07/2024,2/02/2024,0.2743,3.1329,1/31/2024
BondBloxx BB Rated USD High Yield Corporate Bond ETF,XBB,2/01/2024,2/07/2024,2/02/2024,0.2186,2.4913,1/31/2024
BondBloxx Bloomberg Five Year Target Duration US Treasury ETF,XFIV,2/01/2024,2/07/2024,2/02/2024,0.1584,1.8248,1/31/2024
BondBloxx Bloomberg One Year Target Duration US Treasury ETF,XONE,2/01/2024,2/07/2024,2/02/2024,0.2631,2.364,1/31/2024
BondBloxx Bloomberg Seven Year Target Duration US Treasury ETF,XSVN,2/01/2024,2/07/2024,2/02/2024,0.161,1.7262,1/31/2024
BondBloxx Bloomberg Six Month Target Duration US Treasury ETF,XHLF,2/01/2024,2/07/2024,2/02/2024,0.2288,2.3439,1/31/2024
BondBloxx Bloomberg Ten Year Target Duration US Treasury ETF,XTEN,2/01/2024,2/07/2024,2/02/2024,0.1083,1.7407,1/31/2024
BondBloxx Bloomberg Three Year Target Duration US Treasury ETF,XTRE,2/01/2024,2/07/2024,2/02/2024,0.1706,1.9983,1/31/2024
BondBloxx Bloomberg Twenty Year Target Duration US Treasury ETF,XTWY,2/01/2024,2/07/2024,2/02/2024,0.1499,1.7556,1/31/2024
BondBloxx Bloomberg Two Year Target Duration US Treasury ETF,XTWO,2/01/2024,2/07/2024,2/02/2024,0.2592,2.1528,1/31/2024
BondBloxx CCC Rated USD High Yield Corporate Bond ETF,XCCC,2/01/2024,2/07/2024,2/02/2024,0.3623,4.2483,1/31/2024
BondBloxx USD High Yield Bond Consumer Cyclicals Sector ETF,XHYC,2/01/2024,2/07/2024,2/02/2024,0.2366,2.4641,1/31/2024
BondBloxx USD High Yield Bond Consumer Non-Cyclicals Sector ETF,XHYD,2/01/2024,2/07/2024,2/02/2024,0.2045,2.2317,1/31/2024
BondBloxx USD High Yield Bond Energy Sector ETF,XHYE,2/01/2024,2/07/2024,2/02/2024,0.2271,2.5279,1/31/2024
BondBloxx USD High Yield Bond Financial & REIT Sector ETF,XHYF,2/01/2024,2/07/2024,2/02/2024,0.224,2.6229,1/31/2024
BondBloxx USD High Yield Bond Healthcare Sector ETF,XHYH,2/01/2024,2/07/2024,2/02/2024,0.2231,2.6517,1/31/2024
BondBloxx USD High Yield Bond Industrial Sector ETF,XHYI,2/01/2024,2/07/2024,2/02/2024,0.217,2.4628,1/31/2024
BondBloxx USD High Yield Bond Sector Rotation ETF,HYSA,2/01/2024,2/07/2024,2/02/2024,0.0935,1.1794,1/31/2024
"BondBloxx USD High Yield Bond Telecom, Media & Technology Sector ETF",XHYT,2/01/2024,2/07/2024,2/02/2024,0.252,2.701,1/31/2024
BrandywineGLOBAL - U.S. Fixed Income ETF,USFI,2/01/2024,2/07/2024,2/02/2024,0.086972,1.043664,1/31/2024
British Pound Sterling Shares,FXB,2/01/2024,2/08/2024,2/02/2024,0.3367,3.5097,1/31/2024
"Brown & Brown, Inc. Common Stock",BRO,2/01/2024,2/14/2024,2/02/2024,0.13,0.52,1/17/2024
"Cadre Holdings, Inc. Common Stock",CDRE,2/01/2024,2/16/2024,2/02/2024,0.0875,0.35,1/23/2024
Canadian Dollar Shares,FXC,2/01/2024,2/08/2024,2/02/2024,0.148,1.588,1/31/2024
"Capitol Federal Financial, Inc. Common Stock",CFFN,2/01/2024,2/16/2024,2/02/2024,0.085,0.34,1/23/2024
Central Valley Community Bancorp Common Stock,CVCY,2/01/2024,2/19/2024,2/02/2024,0.12,0.48,1/17/2024
Columbia Diversified Fixed Income Allocation ETF,DIAL,2/01/2024,2/06/2024,2/02/2024,0.06673,0.6927,1/31/2024
Columbia Multi-Sector Municipal Income ETF,MUST,2/01/2024,2/06/2024,2/02/2024,0.05174,0.5322,1/31/2024
Columbia Short Duration Bond ETF,SBND,2/01/2024,2/06/2024,2/02/2024,0.06867,0.7323,1/31/2024
Costco Wholesale Corporation Common Stock,COST,2/01/2024,2/16/2024,2/02/2024,1.02,4.08,1/18/2024
CrossAmerica Partners LP Common Units representing limited partner interests,CAPL,2/01/2024,2/09/2024,2/02/2024,0.525,2.1,1/22/2024
Defiance Nasdaq 100 Enhanced Options Income ETF,QQQY,2/01/2024,2/06/2024,2/02/2024,0.85,10.2,1/31/2024
Defiance R2000 Enhanced Options Income ETF,IWMY,2/01/2024,2/06/2024,2/02/2024,1.29,14.16,1/09/2024
Defiance S&P 500 Enhanced Options Income ETF,JEPY,2/01/2024,2/06/2024,2/02/2024,0.58,8.496,1/09/2024
DoubleLine Commercial Real Estate ETF,DCRE,2/01/2024,2/07/2024,2/02/2024,0.2274,2.3895,1/31/2024
DoubleLine Mortgage ETF,DMBS,2/01/2024,2/07/2024,2/02/2024,0.1693,1.8759,1/31/2024
DoubleLine Opportunistic Bond ETF,DBND,2/01/2024,2/07/2024,2/02/2024,0.2006,2.1148,1/31/2024
"East West Bancorp, Inc. Common Stock",EWBC,2/01/2024,2/15/2024,2/02/2024,0.55,2.2,1/23/2024
Euro Shares,FXE,2/01/2024,2/08/2024,2/02/2024,0.1979,1.8506,1/31/2024
F/m Opportunistic Income ETF,XFIX,2/01/2024,2/05/2024,2/02/2024,0.2368472,2.842166,1/31/2024
First Trust Energy Infrastructure Fund Common Shares of Beneficial Interest,FIF,2/01/2024,2/15/2024,2/02/2024,0.1,1.2,1/22/2024
First Trust High Income Long Short Fund Common Shares of Beneficial Interest,FSD,2/01/2024,2/15/2024,2/02/2024,0.105,1.26,1/22/2024
First Trust High Yield Opportunities 2027 Term Fund Common Stock,FTHY,2/01/2024,2/26/2024,2/02/2024,0.13,1.56,1/22/2024
First Trust Intermediate Duration Preferred & Income Fund Common Shares of Beneficial Interest,FPF,2/01/2024,2/15/2024,2/02/2024,0.1375,1.65,1/22/2024
First Trust MLP and Energy Income Fund Common Shares of Beneficial Interest,FEI           ,2/01/2024,2/15/2024,2/02/2024,0.05,0.6,1/22/2024
First Trust Motgage Income Fund Common Shares of Beneficial Interest,FMY,2/01/2024,2/15/2024,2/02/2024,0.0825,0.99,1/22/2024
First Trust New Opportunities MLP & Energy Fund Common Shares of Beneficial Interest,FPL,2/01/2024,2/15/2024,2/02/2024,0.0375,0.45,1/22/2024
First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,FCT,2/01/2024,2/15/2024,2/02/2024,0.097,1.164,1/22/2024
First Trust/abrdn Global Opportunity Income Fund Common Shares of Beneficial Interest,FAM,2/01/2024,2/15/2024,2/02/2024,0.06,0.72,1/22/2024
FlexShares Credit-Scored US Corporate Bond Index Fund,SKOR,2/01/2024,2/07/2024,2/02/2024,0.194248,2.330976,1/31/2024
FlexShares Disciplined Duration MBS Index Fund,MBSD,2/01/2024,2/07/2024,2/02/2024,0.0576,0.7039,1/30/2024
FlexShares ESG & Climate Investment Grade Corporate Core Index Fund,FEIG,2/01/2024,2/07/2024,2/02/2024,0.1288,1.7448,1/30/2024
FlexShares High Yield Value-Scored Bond Index Fund,HYGV,2/01/2024,2/07/2024,2/02/2024,0.3109,3.583,1/30/2024
FlexShares Ultra-Short Income Fund,RAVI,2/01/2024,2/07/2024,2/02/2024,0.3372,3.5152,1/30/2024
Franklin Dynamic Municipal Bond ETF,FLMI,2/01/2024,2/07/2024,2/02/2024,0.0825,0.9248,1/04/2024
Franklin Income Focus ETF,INCM,2/01/2024,2/07/2024,2/02/2024,0.1281,1.352,1/08/2024
Franklin Investment Grade Corporate ETF,FLCO,2/01/2024,2/07/2024,2/02/2024,0.0743,0.8694,1/08/2024
Franklin Municipal Green Bond ETF,FLMB,2/01/2024,2/07/2024,2/02/2024,0.0755,0.8545,1/04/2024
Franklin Short Duration U.S. Government ETF,FTSD,2/01/2024,2/07/2024,2/02/2024,0.3562,3.8446,1/08/2024
Franklin U.S. Core Bond ETF,FLCB,2/01/2024,2/07/2024,2/02/2024,0.0619,0.7475,1/08/2024
Franklin U.S. Treasury Bond ETF,FLGV,2/01/2024,2/07/2024,2/02/2024,0.0617,0.7264,1/05/2024
Franklin Ultra Short Bond ETF,FLUD,2/01/2024,2/07/2024,2/02/2024,0.1148,1.2075,1/04/2024
Goldman Sachs Access High Yield Corporate Bond ETF,GHYB,2/01/2024,2/07/2024,2/02/2024,0.242,2.7493,1/31/2024
Goldman Sachs Access Investment Grade Corporate 1-5 Year Bond ETF,GSIG,2/01/2024,2/07/2024,2/02/2024,0.1635,1.7212,1/31/2024
Goldman Sachs Access Investment Grade Corporate Bond ETF,GIGB,2/01/2024,2/07/2024,2/02/2024,0.1552,1.7177,1/31/2024
Goldman Sachs Access Treasury 0-1 Year ETF,GBIL,2/01/2024,2/07/2024,2/02/2024,0.4044,4.8099,1/31/2024
Goldman Sachs Access U.S. Aggregate Bond ETF,GCOR,2/01/2024,2/07/2024,2/02/2024,0.1081,1.5349,1/31/2024
Goldman Sachs Community Municipal Bond ETF,GMUN,2/01/2024,2/07/2024,2/02/2024,0.2596,1.546,1/31/2024
Harbor Scientific Alpha High-Yield ETF,SIHY,2/01/2024,2/06/2024,2/02/2024,0.28501,3.2175,1/31/2024
Harbor Scientific Alpha Income ETF,SIFI,2/01/2024,2/06/2024,2/02/2024,0.12766,2.4527,1/31/2024
Ionic Inflation Protection ETF,CPII,2/01/2024,2/06/2024,2/02/2024,0.0197,1.2396,1/31/2024
IQ MacKay California Municipal Intermediate ETF,MMCA,2/01/2024,2/07/2024,2/02/2024,0.0677,0.782,1/31/2024
IQ MacKay ESG Core Plus Bond ETF,ESGB,2/01/2024,2/07/2024,2/02/2024,0.09118,1.0294,1/31/2024
IQ MacKay ESG High Income ETF,IQHI,2/01/2024,2/07/2024,2/02/2024,0.16463,1.8473,1/31/2024
IQ MacKay Municipal Insured ETF,MMIN,2/01/2024,2/07/2024,2/02/2024,0.08193,0.9184,1/31/2024
IQ MacKay Municipal Intermediate ETF,MMIT,2/01/2024,2/07/2024,2/02/2024,0.07794,0.8604,1/31/2024
IQ Ultra Short Duration ETF,ULTR,2/01/2024,2/07/2024,2/02/2024,0.18211,2.1822,1/31/2024
iShares 0-3 Month Treasury Bond ETF,SGOV,2/01/2024,2/07/2024,2/02/2024,0.458091,4.947,11/28/2023
iShares 0-5 Year High Yield Corporate Bond ETF,SHYG,2/01/2024,2/07/2024,2/02/2024,0.229773,2.7486,11/28/2023
iShares 0-5 Year Investment Grade Corporate Bond ETF,SLQD,2/01/2024,2/07/2024,2/02/2024,0.137825,1.6539,1/31/2024
iShares 1-3 Year Treasury Bond ETF,SHY,2/01/2024,2/07/2024,2/02/2024,0.242118,2.905416,1/31/2024
iShares 1-5 Year Investment Grade Corporate Bond ETF,IGSB,2/01/2024,2/07/2024,2/02/2024,0.151544,1.818528,1/31/2024
iShares 10+ Year Investment Grade Corporate Bond ETF,IGLB,2/01/2024,2/07/2024,2/02/2024,0.208175,2.4229,11/23/2023
iShares 10-20 Year Treasury Bond ETF,TLH,2/01/2024,2/07/2024,2/02/2024,0.355085,4.1747,1/31/2024
iShares 20+ Year Treasury Bond ETF,TLT,2/01/2024,2/07/2024,2/02/2024,0.310122,3.721464,1/31/2024
iShares 3-7 Year Treasury Bond ETF,IEI,2/01/2024,2/07/2024,2/02/2024,0.28656,3.43872,1/31/2024
iShares 5-10 Year Investment Grade Corporate Bond ETF,IGIB,2/01/2024,2/07/2024,2/02/2024,0.177899,2.134788,1/31/2024
iShares 7-10 Year Treasury Bond ETF,IEF,2/01/2024,2/07/2024,2/02/2024,0.235883,2.830596,1/31/2024
iShares Aaa - A Rated Corporate Bond ETF,QLTA,2/01/2024,2/07/2024,2/02/2024,0.153605,1.6831,11/24/2023
iShares Agency Bond ETF,AGZ,2/01/2024,2/07/2024,2/02/2024,0.3063,3.4639,1/31/2024
iShares BB Rated Corporate Bond ETF,HYBB,2/01/2024,2/07/2024,2/02/2024,0.189307,2.763,11/29/2023
iShares BBB Rated Corporate Bond ETF,LQDB,2/01/2024,2/07/2024,2/02/2024,0.307707,3.466,11/23/2023
iShares Broad USD Investment Grade Corporate Bond ETF,USIG,2/01/2024,2/07/2024,2/02/2024,0.176601,2.119212,1/31/2024
iShares California Muni Bond ETF,CMF,2/01/2024,2/07/2024,2/02/2024,0.119661,1.3407,11/23/2023
iShares CMBS ETF,CMBS,2/01/2024,2/07/2024,2/02/2024,0.115781,1.4045,11/23/2023
iShares Core 1-5 Year USD Bond ETF,ISTB,2/01/2024,2/07/2024,2/02/2024,0.139843,1.678116,1/31/2024
iShares Core 10+ Year USD Bond ETF,ILTB,2/01/2024,2/07/2024,2/02/2024,0.194944,2.3129,11/29/2023
iShares Core 5-10 Year USD Bond ETF,IMTB,2/01/2024,2/07/2024,2/02/2024,0.15253,1.811,11/29/2023
iShares Core Total USD Bond Market ETF,IUSB,2/01/2024,2/07/2024,2/02/2024,0.130208,1.562496,1/31/2024
iShares Core U.S. Aggregate Bond ETF,AGG,2/01/2024,2/07/2024,2/02/2024,0.2933,3.1555,1/31/2024
iShares ESG Advanced High Yield Corporate Bond ETF,HYXF,2/01/2024,2/07/2024,2/02/2024,0.236651,2.839812,1/31/2024
iShares ESG Advanced Investment Grade Corporate Bond ETF,ELQD,2/01/2024,2/07/2024,2/02/2024,0.275911,3.0944,11/23/2023
iShares ESG Advanced Total USD Bond Market ETF,EUSB,2/01/2024,2/07/2024,2/02/2024,0.120738,1.3362,11/24/2023
iShares ESG Aware 1-5 Year USD Corporate Bond ETF,SUSB,2/01/2024,2/07/2024,2/02/2024,0.066044,0.792528,1/31/2024
