companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Albemarle Corporation Common Stock,ALB,12/14/2023,1/02/2024,12/15/2023,0.4,1.6,10/23/2023
"Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1, 2079",AQNB,12/14/2023,1/02/2024,12/15/2023,0.3875,1.55,12/27/2023
"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",AFGB,12/14/2023,1/02/2024,12/15/2023,0.3671875,1.4688,12/27/2023
American Homes 4 Rent Common Shares of Beneficial Interest,AMH,12/14/2023,12/29/2023,12/15/2023,0.22,0.88,10/30/2023
American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,AMH^G,12/14/2023,12/29/2023,12/15/2023,0.36719,1.4688,10/30/2023
American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,AMH^H,12/14/2023,12/29/2023,12/15/2023,0.39063,1.5625,10/30/2023
"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1,000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares, Series F",ACGLO,12/14/2023,12/31/2023,12/15/2023,0.340625,1.3625,11/10/2023
"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",ACGLN,12/14/2023,12/31/2023,12/15/2023,0.284375,1.1375,11/10/2023
Ares Capital Corporation Common Stock,ARCC,12/14/2023,12/28/2023,12/15/2023,0.48,1.92,10/24/2023
Ares Management Corporation Class A Common Stock,ARES,12/14/2023,12/29/2023,12/15/2023,0.77,3.08,10/31/2023
Avient Corporation Common Stock,AVNT,12/14/2023,1/05/2024,12/15/2023,0.2575,1.03,10/12/2023
"Avis Budget Group, Inc. Common Stock",CAR,12/14/2023,12/21/2023,12/15/2023,10.0,0.0,12/05/2023
"Babcock & Wilcox Enterprises, Inc. 6.50% Senior Notes due 2026",BWNB,12/14/2023,1/02/2024,12/15/2023,0.4062,1.625,12/27/2023
BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes,BIPI,12/14/2023,1/02/2024,12/16/2023,0.3203,1.2812,12/27/2023
BlackRock AAA CLO ETF,CLOA,12/14/2023,12/20/2023,12/15/2023,0.305465,3.66558,12/13/2023
BlackRock Capital Investment Corporation Common Stock,BKCC,12/14/2023,1/08/2024,12/15/2023,0.1,0.4,11/07/2023
BlackRock Short-Term California Muni Bond ETF,CALY,12/14/2023,12/20/2023,12/15/2023,0.12615,1.5138,12/13/2023
BlackRock TCP Capital Corp. Common Stock,TCPC,12/14/2023,12/29/2023,12/15/2023,0.59,1.76,11/02/2023
Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,BIPH,12/14/2023,1/02/2024,12/16/2023,0.3125,1.25,12/27/2023
C&F Financial Corporation Common Stock,CFFI,12/14/2023,1/01/2024,12/15/2023,0.44,1.76,11/21/2023
Cadence Bank Common Stock,CADE,12/14/2023,1/02/2024,12/15/2023,0.235,0.94,10/25/2023
Capital Southwest Corporation Common Stock,CSWC,12/14/2023,12/29/2023,12/15/2023,0.63,2.52,10/25/2023
"Chicken Soup for the Soul Entertainment, Inc. 9.50% Notes due 2025",CSSEN,12/14/2023,12/31/2023,12/15/2023,0.59375,2.375,12/27/2023
Chimera Investment Corporation 7.75% Series C Fixed-to-Floating Rate  Cumulative Redeemable  Preferred Stock,CIM^C,12/14/2023,1/02/2024,12/15/2023,0.484375,1.9375,11/02/2023
Chimera Investment Corporation 8.00% Series A Cumulative Redeemable Preferred Stock,CIM^A,12/14/2023,1/02/2024,12/15/2023,0.5,2.0,11/02/2023
Chimera Investment Corporation 8.00% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,CIM^B,12/14/2023,1/02/2024,12/15/2023,0.5,2.0,11/02/2023
Chimera Investment Corporation 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,CIM^D,12/14/2023,1/02/2024,12/15/2023,0.5,2.0,11/02/2023
"ChoiceOne Financial Services, Inc. Common Stock",COFS,12/14/2023,12/29/2023,12/15/2023,0.27,1.08,11/29/2023
"Citizens Financial Services, Inc. Common Stock",CZFS,12/14/2023,12/29/2023,12/15/2023,0.49,1.96,12/05/2023
"Community Trust Bancorp, Inc. Common Stock",CTBI,12/14/2023,1/02/2024,12/15/2023,0.46,1.84,10/24/2023
"Conifer Holdings, Inc. 9.75% Senior Unsecured Notes due 2028",CNFRZ,12/14/2023,12/31/2023,12/15/2023,0.609375,2.4375,12/05/2023
"Cornerstone Strategic Value Fund, Inc. New Common Stock",CLM,12/14/2023,12/29/2023,12/15/2023,0.1228,1.4736,8/04/2023
"Cornerstone Total Return Fund, Inc. (The) Common Stock",CRF,12/14/2023,12/29/2023,12/15/2023,0.1173,1.4076,8/04/2023
Crown Castle Inc. Common Stock,CCI,12/14/2023,12/29/2023,12/15/2023,1.565,6.26,10/18/2023
Crown Crafts Inc Common Stock,CRWS,12/14/2023,1/05/2024,12/15/2023,0.08,0.32,11/14/2023
"Customers Bancorp, Inc 5.375% Subordinated Notes Due 2034",CUBB,12/14/2023,1/02/2024,12/15/2023,0.3359375,1.3438,12/27/2023
DBA Sempra 5.750% Junior Subordinated Notes due 2079,SREA,12/14/2023,1/02/2024,12/15/2023,0.359375,1.4375,12/27/2023
Domino's Pizza Inc Common Stock,DPZ,12/14/2023,12/29/2023,12/15/2023,1.21,4.84,10/10/2023
Eagle Point Credit Company Inc. 5.375% Notes due 2029,ECCV,12/14/2023,1/02/2024,12/15/2023,0.3359,1.3587,12/27/2023
Eagle Point Credit Company Inc. 6.6875% Notes due 2028,ECCX,12/14/2023,1/02/2024,12/15/2023,0.418,1.6719,12/27/2023
Eagle Point Credit Company Inc. 6.75% Notes due 2031,ECCW,12/14/2023,1/02/2024,12/15/2023,0.4219,1.6875,12/27/2023
El Paso Corporation Preferred Stock,EP^C,12/14/2023,1/02/2024,12/15/2023,0.59375,2.375,12/27/2023
Energy Services of America Corporation Common Stock,ESOA,12/14/2023,1/02/2024,12/15/2023,0.06,0.0,11/15/2023
Enterprise Financial Services Corporation Common Stock,EFSC,12/14/2023,12/29/2023,12/15/2023,0.25,1.0,10/23/2023
Epsilon Energy Ltd. Common Share,EPSN,12/14/2023,12/29/2023,12/15/2023,0.0625,0.25,11/27/2023
"ESSA Bancorp, Inc. Common Stock",ESSA,12/14/2023,12/29/2023,12/16/2023,0.15,0.6,11/14/2023
"First Capital, Inc. Common Stock",FCAP,12/14/2023,12/29/2023,12/15/2023,0.27,1.08,11/20/2023
"First Financial Bankshares, Inc. Common Stock",FFIN,12/14/2023,1/02/2024,12/15/2023,0.18,0.72,10/24/2023
First Horizon Corporation Common Stock,FHN,12/14/2023,1/02/2024,12/15/2023,0.15,0.6,10/24/2023
"First Savings Financial Group, Inc. Common Stock",FSFG,12/14/2023,12/29/2023,12/15/2023,0.14,0.56,11/29/2023
