companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Bridgewater Bancshares, Inc. Depositary Shares, Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock, Series A",BWBBP,2/14/2024,3/01/2024,2/15/2024,0.3672,1.4688,1/23/2024
Burke & Herbert Financial Services Corp. Common Stock,BHRB,2/14/2024,3/01/2024,2/15/2024,0.53,2.12,1/25/2024
"Business First Bancshares, Inc. Common Stock",BFST,2/14/2024,2/28/2024,2/15/2024,0.14,0.56,1/23/2024
"CB Financial Services, Inc. Common Stock",CBFV,2/14/2024,2/29/2024,2/15/2024,0.25,1.0,1/31/2024
Cintas Corporation Common Stock,CTAS,2/14/2024,3/15/2024,2/15/2024,1.35,5.4,1/16/2024
"ConnectOne Bancorp, Inc. Common Stock",CNOB,2/14/2024,3/01/2024,2/15/2024,0.17,0.68,1/25/2024
"ConnectOne Bancorp, Inc. Depositary Shares, each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",CNOBP,2/14/2024,3/01/2024,2/15/2024,0.328125,1.3125,1/25/2024
"Esquire Financial Holdings, Inc. Common Stock",ESQ,2/14/2024,3/01/2024,2/15/2024,0.15,0.5,1/31/2024
FAT Brands Inc. Class A Common Stock,FAT,2/14/2024,3/01/2024,2/15/2024,0.14,0.56,1/09/2024
FAT Brands Inc. Class B Common Stock,FATBB,2/14/2024,3/01/2024,2/15/2024,0.14,0.56,1/09/2024
"First Guaranty Bancshares, Inc. 6.75% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock",FGBIP,2/14/2024,3/01/2024,2/15/2024,0.421875,1.6875,1/18/2024
"Fossil Group, Inc. 7% Senior Notes due 2026",FOSLL,2/14/2024,2/28/2024,2/15/2024,0.4375,1.75,2/03/2024
Generation Income Properties Inc. Common Stock,GIPR,2/14/2024,2/29/2024,2/15/2024,0.039,0.468,1/03/2024
"Global Water Resources, Inc. Common Stock",GWRS,2/14/2024,2/29/2024,2/15/2024,0.02508,0.30096,1/31/2024
"Greene County Bancorp, Inc. Common Stock",GCBC,2/14/2024,2/28/2024,2/15/2024,0.08,0.32,1/17/2024
"HomeTrust Bancshares, Inc. Common Stock",HTBI,2/14/2024,2/29/2024,2/15/2024,0.11,0.44,1/22/2024
Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,HBANM,2/14/2024,3/01/2024,2/15/2024,0.35625,1.425,12/07/2023
International Bancshares Corporation Common Stock,IBOC,2/14/2024,2/28/2024,2/15/2024,0.66,1.26,1/31/2024
Microsoft Corporation Common Stock,MSFT,2/14/2024,3/14/2024,2/15/2024,0.75,3.0,11/28/2023
Middlesex Water Company Common Stock,MSEX,2/14/2024,3/01/2024,2/15/2024,0.325,1.3,1/29/2024
Oxford Lane Capital Corp. 6.25% Series 2027 Term Preferred Shares,OXLCP,2/14/2024,2/29/2024,2/15/2024,0.13020833,1.5625,10/26/2023
Oxford Lane Capital Corp. 6.75% Series 2024 Term Preferred Stock,OXLCM,2/14/2024,2/29/2024,2/15/2024,0.140625,1.6875,10/26/2023
Oxford Lane Capital Corp. 7.125% Series 2029 Term Preferred Stock,OXLCN,2/14/2024,2/29/2024,2/15/2024,0.1484375,1.78125,10/26/2023
Oxford Lane Capital Corp. Common Stock,OXLC,2/14/2024,2/29/2024,2/15/2024,0.08,0.96,10/26/2023
"Oxford Lane Capital Corp. Preferred Stock Shares, 6.00% Series 2029",OXLCO,2/14/2024,2/29/2024,2/15/2024,0.125,1.5,10/26/2023
Oxford Square Capital Corp. Common Stock,OXSQ,2/14/2024,2/29/2024,2/15/2024,0.035,0.42,11/02/2023
PACCAR Inc. Common Stock,PCAR,2/14/2024,3/06/2024,2/15/2024,0.27,1.08,2/03/2024
"Phillips Edison & Company, Inc. Common Stock",PECO,2/14/2024,3/01/2024,2/15/2024,0.0975,1.17,11/07/2023
"Pinnacle Financial Partners, Inc. Depositary shares of Pinnacle Financial Partners, Inc., each representing a 1/40th Interest in a share of its 6.75% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series B",PNFPP,2/14/2024,3/01/2024,2/15/2024,0.422,1.688,1/16/2024
"Provident Financial Holdings, Inc. Common Stock",PROV,2/14/2024,3/07/2024,2/15/2024,0.14,0.56,1/25/2024
"Resources Connection, Inc. Common Stock",RGP,2/14/2024,3/14/2024,2/15/2024,0.14,0.56,1/18/2024
Reynolds Consumer Products Inc. Common Stock,REYN,2/14/2024,2/29/2024,2/15/2024,0.23,0.92,1/25/2024
Runway Growth Finance Corp. 7.50% Notes due 2027,RWAYL,2/14/2024,3/01/2024,2/15/2024,0.46875,1.875,2/03/2024
Runway Growth Finance Corp. 8.00% Notes due 2027,RWAYZ,2/14/2024,3/01/2024,2/15/2024,0.5,2.0,2/03/2024
"Selective Insurance Group, Inc. Common Stock",SIGI,2/14/2024,3/01/2024,2/15/2024,0.35,1.4,1/31/2024
"Southern Missouri Bancorp, Inc. Common Stock",SMBC,2/14/2024,2/29/2024,2/15/2024,0.21,0.84,1/23/2024
"USCB Financial Holdings, Inc. Class A Common Stock",USCB,2/14/2024,3/05/2024,2/15/2024,0.05,0.0,1/22/2024
"Cornerstone Total Return Fund, Inc. (The) Common Stock",CRF,2/14/2024,2/29/2024,2/15/2024,0.1037,1.2444,11/03/2023
"Cornerstone Strategic Value Fund, Inc. New Common Stock",CLM,2/14/2024,2/29/2024,2/15/2024,0.1086,1.3032,11/03/2023
"Bar Harbor Bankshares, Inc. Common Stock",BHB,2/14/2024,3/15/2024,2/15/2024,0.28,1.12,1/16/2024
Neuberger Berman High Yield Strategies Fund,NHS,2/14/2024,2/29/2024,2/15/2024,0.0905,1.086,1/31/2024
Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,NML,2/14/2024,2/29/2024,2/15/2024,0.0584,0.7008,1/31/2024
