companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Alerus Financial Corporation Common Stock,ALRS,6/14/2024,7/15/2024,6/14/2024,0.2,0.76,5/21/2024
"AMERISAFE, Inc. Common Stock",AMSF,6/14/2024,6/21/2024,6/14/2024,0.37,1.48,4/23/2024
"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1,000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares, Series F",ACGLO,6/14/2024,6/30/2024,6/15/2024,0.340625,1.3625,5/10/2024
"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",ACGLN,6/14/2024,6/30/2024,6/15/2024,0.284375,1.1375,5/10/2024
Ares Capital Corporation Common Stock,ARCC,6/14/2024,6/28/2024,6/14/2024,0.48,1.92,5/01/2024
Atrion Corporation Common Stock,ATRI,6/14/2024,6/28/2024,6/14/2024,2.2,8.8,5/21/2024
"Automatic Data Processing, Inc. Common Stock",ADP,6/14/2024,7/01/2024,6/14/2024,1.4,5.6,4/03/2024
BlackRock TCP Capital Corp. Common Stock,TCPC,6/14/2024,6/28/2024,6/14/2024,0.34,1.36,5/01/2024
C&F Financial Corporation Common Stock,CFFI,6/14/2024,7/01/2024,6/14/2024,0.44,1.76,5/21/2024
Calamos Convertible and High Income Fund Common Stock,CHY,6/14/2024,6/20/2024,6/14/2024,0.1,1.2,6/03/2024
Calamos Convertible Opportunities and Income Fund Common Stock,CHI,6/14/2024,6/20/2024,6/14/2024,0.095,1.14,6/03/2024
Calamos Dynamic Convertible & Income Fund Common Stock,CCD,6/14/2024,6/20/2024,6/14/2024,0.195,2.34,6/03/2024
Calamos Global Dynamic Income Fund Common Stock,CHW,6/14/2024,6/20/2024,6/14/2024,0.05,0.6,6/03/2024
Calamos Global Total Return Fund Common Stock,CGO,6/14/2024,6/20/2024,6/14/2024,0.08,0.96,6/03/2024
Calamos Long/Short Equity & Dynamic Income Trust Common Stock,CPZ,6/14/2024,6/20/2024,6/14/2024,0.14,1.68,6/03/2024
Calamos Strategic Total Return Common Stock,CSQ,6/14/2024,6/20/2024,6/14/2024,0.1025,1.23,6/03/2024
Capital Southwest Corporation Common Stock,CSWC,6/14/2024,6/28/2024,6/14/2024,0.63,2.52,4/24/2024
"Chicken Soup for the Soul Entertainment, Inc. 9.50% Notes due 2025",CSSEN,6/14/2024,6/30/2024,6/15/2024,0.59375,2.375,6/13/2024
"ChoiceOne Financial Services, Inc. Common Stock",COFS,6/14/2024,6/28/2024,6/14/2024,0.27,1.08,5/29/2024
"Community Trust Bancorp, Inc. Common Stock",CTBI,6/14/2024,7/01/2024,6/15/2024,0.46,1.84,4/23/2024
"Conifer Holdings, Inc. 9.75% Senior Unsecured Notes due 2028",CNFRZ,6/14/2024,6/30/2024,6/15/2024,0.609375,2.4375,3/07/2024
Crown Crafts Inc Common Stock,CRWS,6/14/2024,7/05/2024,6/14/2024,0.08,0.32,5/14/2024
"CSG Systems International, Inc. Common Stock",CSGS,6/14/2024,6/27/2024,6/14/2024,0.3,1.2,6/13/2024
Enterprise Financial Services Corporation Common Stock,EFSC,6/14/2024,6/28/2024,6/14/2024,0.26,1.0,4/22/2024
Epsilon Energy Ltd. Common Share,EPSN,6/14/2024,6/28/2024,6/14/2024,0.0625,0.25,5/31/2024
"ESSA Bancorp, Inc. Common Stock",ESSA,6/14/2024,6/28/2024,6/14/2024,0.15,0.6,5/21/2024
Farmers National Banc Corp. Common Stock,FMNB,6/14/2024,6/28/2024,6/14/2024,0.17,0.68,5/21/2024
"Financial Institutions, Inc. Common Stock",FISI,6/14/2024,7/02/2024,6/14/2024,0.3,1.2,5/22/2024
"First Capital, Inc. Common Stock",FCAP,6/14/2024,6/28/2024,6/14/2024,0.27,1.08,5/22/2024
"First Financial Bankshares, Inc. Common Stock",FFIN,6/14/2024,7/01/2024,6/14/2024,0.18,0.72,4/23/2024
"First Savings Financial Group, Inc. Common Stock",FSFG,6/14/2024,6/28/2024,6/14/2024,0.15,0.6,5/29/2024
"Fortress Biotech, Inc. 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock",FBIOP,6/14/2024,6/30/2024,6/15/2024,0.1953125,2.34375,6/05/2024
Generation Income Properties Inc. Common Stock,GIPR,6/14/2024,6/28/2024,6/15/2024,0.039,0.468,6/03/2024
"Gilead Sciences, Inc. Common Stock",GILD,6/14/2024,6/27/2024,6/14/2024,0.77,3.08,4/23/2024
"Global Water Resources, Inc. Common Stock",GWRS,6/14/2024,6/28/2024,6/14/2024,0.02508,0.30096,5/31/2024
"Golden Entertainment, Inc. Common Stock",GDEN,6/14/2024,7/02/2024,6/14/2024,0.25,1.0,5/02/2024
Great Elm Capital Corp. 5.875% Notes due 2026,GECCO,6/14/2024,6/30/2024,6/15/2024,0.363108,1.468748,6/13/2024
Great Elm Capital Corp. 6.75% Notes Due 2025,GECCM,6/14/2024,6/30/2024,6/15/2024,0.417188,1.6875,6/13/2024
Great Elm Capital Corp. 8.50% NOTES DUE 2029,GECCI,6/14/2024,6/30/2024,6/15/2024,0.430903,0.0,6/13/2024
