companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1,000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares, Series F",ACGLO,9/13/2024,9/30/2024,9/15/2024,0.340625,1.3625,5/10/2024
"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",ACGLN,9/13/2024,9/30/2024,9/15/2024,0.284375,1.1375,5/10/2024
"Conifer Holdings, Inc. 9.75% Senior Unsecured Notes due 2028",CNFRZ,9/13/2024,9/30/2024,9/15/2024,0.609375,2.4375,3/07/2024
Great Elm Capital Corp. 5.875% Notes due 2026,GECCO,9/13/2024,9/30/2024,9/15/2024,0.367187,1.452432,7/10/2024
Great Elm Capital Corp. 6.75% Notes Due 2025,GECCM,9/13/2024,9/30/2024,9/15/2024,0.421875,1.668752,7/10/2024
Great Elm Capital Corp. 8.50% NOTES DUE 2029,GECCI,9/13/2024,9/30/2024,9/15/2024,0.53125,1.723612,7/10/2024
Great Elm Capital Corp. 8.75% Notes due 2028,GECCZ,9/13/2024,9/30/2024,9/15/2024,0.546875,2.163196,7/10/2024
"Great Elm Group, Inc.  7.25% Notes due 2027",GEGGL,9/13/2024,9/30/2024,9/15/2024,0.45313,1.79236,7/10/2024
"Navient Corporation 6% Senior Notes due December 15, 2043",JSM,9/13/2024,9/16/2024,9/13/2024,0.375,1.5,7/10/2024
Oxford Lane Capital Corp. 5.00% Notes due 2027,OXLCZ,9/13/2024,9/30/2024,9/15/2024,0.3125,1.25,7/10/2024
Oxford Lane Capital Corp. 6.75% Notes due 2031,OXLCL,9/13/2024,9/30/2024,9/15/2024,0.421875,1.6875,7/10/2024
Garmin Ltd. Common Stock (Switzerland),GRMN,9/13/2024,9/27/2024,9/13/2024,0.75,3.0,2/21/2024
"Worthington Enterprises, Inc. Common Shares",WOR,9/13/2024,9/27/2024,9/13/2024,0.17,0.68,6/25/2024
"RiverNorth Managed Duration Municipal Income Fund, Inc. Common Stock",RMM,9/13/2024,9/30/2024,9/13/2024,0.0916,1.0992,7/01/2024
KKR Income Opportunities Fund Common Shares,KIO,9/13/2024,9/30/2024,9/13/2024,0.1215,1.458,6/20/2024
"RiverNorth Opportunities Fund, Inc. Common Stock",RIV,9/13/2024,9/30/2024,9/13/2024,0.1289,1.5468,7/01/2024
RiverNorth Capital and Income Fund Common Stock,RSF,9/13/2024,9/30/2024,9/13/2024,0.1398,1.6776,7/01/2024
"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. Common Stock",OPP,9/13/2024,9/30/2024,9/13/2024,0.1003,1.2036,7/01/2024
"RiverNorth Opportunistic Municipal Income Fund, Inc. Common Stock",RMI,9/13/2024,9/30/2024,9/13/2024,0.0965,1.158,7/01/2024
"RiverNorth Flexible Municipal Income Fund, Inc. Common Stock",RFM,9/13/2024,9/30/2024,9/13/2024,0.0954,1.1448,7/01/2024
"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",RFMZ,9/13/2024,9/30/2024,9/13/2024,0.0866,1.0392,7/01/2024
"RiverNorth Managed Duration Municipal Income Fund II, Inc. Common Stock",RMMZ,9/13/2024,9/30/2024,9/13/2024,0.0974,1.1688,7/01/2024
"Worthington Steel, Inc. Common Shares",WS,9/13/2024,9/27/2024,9/13/2024,0.16,0.64,6/26/2024
Athene Holding Ltd. 7.250% Fixed-Rate Reset Junior Subordinated Debentures due 2064,ATHS,9/13/2024,9/30/2024,9/15/2024,0.453125,1.8125,N/A
Brookfield Infrastructure Corporation 7.250% Subordinated Notes due 2084,BIPJ,9/13/2024,9/30/2024,9/15/2024,0.6041667,2.4167,N/A
Meritage Hospitality Group Inc. PRF PERPETUAL USD - Ser B,MHGUP,9/13/2024,10/01/2024,9/15/2024,0.2,0.8,2/13/2024
